emoticon	category	Description
(-.-)y-°°°	action_smoking	Smoking
(^.^)y-.o○	action_smoking	Smoking
.....φ(・∀・＊)	action_studying	Studying, writing
(V)o￥o(V)	alien	alien;alien_baltan
～°·_·°～	animal_bat	Animal,Bat
(=^··^=)	animal_cat	Cat
(=^·^=)	animal_cat	Cat
=_^=	animal_cat	Cat
(°))<<	animal_fish	Animal, Fish
(Q))><ヨヨ	animal_fish	Animal, Fish
<*)))‑{	animal_fish
<*))>=<	animal_fish	Animal, Fish
<°)))彡	animal_fish	Animal, Fish
<+))><<	animal_fish	Animal, Fish
>°))))彡	animal_fish	Animal, Fish
>°)))彡	animal_fish	Animal, Fish
>°))彡	animal_fish	Animal, Fish
><(((*>	animal_fish
><>	animal_fish
:3ミ	animal_octopus	Animal, Octopus, squid
<コ:彡	animal_octopus	Animal, Octopus, squid
~>°)～～～	animal_snake	Animal,Snake
<`～´>	arms_akimbo	Worried; arms akimbo
<`ヘ´>	arms_akimbo	Worried; arms akimbo
(/◕ヮ◕)/	arms_raised	Joyful
(／ロ°)／	arms_raised	Questioning
(╯°□°）╯	arms_raised
＼(°ロ＼)	arms_raised	Questioning
:$	blushing	Embarrassed, blushing
（’-’*)	blushing
(*^.^*)	blushing	Normal laugh
(#^.^#)	blushing	Happy
!(^^)!	cheering	Amazed
(^^)/	cheering	Joyful
(≧∇≦)/	cheering	Joyful
*\0/*	cheering
/(^O^)／	cheering	Joyful
＼(-o-)／	cheering	Excited
＼(^o^)／	cheering	Excited
＼(~o~)／	cheering	Excited
＼(◎o◎)／	cheering	Amazed
＼(◎o◎)／！	cheering	Amazed
\o/	cheering
^<_<	cheering	Cheering, High-five
^5	cheering	Cheering, High-five
>_>^	cheering	Cheering, High-five
∩(·ω·)∩	cheering	Joyful
;_;	crying	sad, crying
;-;	crying	sad, crying
;;	crying	Sad, crying
;n;	crying	Sad, crying
(;_;	crying	Sad, crying
(;_;)	crying	Sad, crying
(;_;)/~~~	crying	Waving
(;_:)	crying	Sad, crying
(;O;)	crying	Sad, crying
(:_;)	crying	Sad, crying
(T_T)	crying	Sad, crying
